experiment,date experiment,plant,number,species,treatment,date generated,score
glue,25-11-2019,B.nigra,8,brassicae,egg wash,11-11-2019,2
glue,25-11-2019,B.nigra,8,brassicae,egg wash,11-11-2019,3
glue,25-11-2019,B.nigra,1,brassicae,glue removed (NaPO4),11-11-2019,1
glue,25-11-2019,B.nigra,2,brassicae,glue removed (NaPO4),11-11-2019,1
glue,25-11-2019,B.nigra,3,brassicae,glue removed (NaPO4),11-11-2019,2
glue,25-11-2019,B.nigra,4,brassicae,glue removed (NaPO4),11-11-2019,0
glue,25-11-2019,B.nigra,5,brassicae,glue removed (NaPO4),11-11-2019,1
glue,25-11-2019,B.nigra,6,brassicae,glue removed (NaPO4),11-11-2019,1
glue,25-11-2019,B.nigra,7,brassicae,glue removed (NaPO4),11-11-2019,1
glue,25-11-2019,B.nigra,8,brassicae,glue removed (NaPO4),11-11-2019,1
